ax,ay,az,gx,gy,gz,toe,heel
-0.5417,0.0815,0.8779,-1.19,-2.52,2.66,8,16
-0.5661,0.1093,0.8555,-1.26,3.85,3.43,2,8
-0.5836,0.2054,0.8233,-0.49,-0.63,-1.68,7,8
-0.5958,0.001,0.8491,17.57,-5.25,0.56,5,9
-0.5485,0.0317,0.8789,4.34,-0.49,5.74,7,8
-0.551,0.1054,0.8657,4.2,5.32,2.73,6,9
-0.569,0.0425,0.8672,6.23,10.5,3.71,5,12
-0.6046,0.0503,0.8184,5.88,9.1,9.03,6,5
-0.568,0.1298,0.852,-7.28,10.08,35.42,7,16
-0.6364,0.0107,0.8369,-43.61,15.75,62.58,8,14
-0.5998,0.1015,0.8555,-14,17.57,49.84,4,10
-0.6598,0.0171,0.8262,10.57,8.05,29.19,3,7
-0.5583,0.3196,0.7471,26.67,-4.76,6.16,5,9
-0.5895,0.2967,0.7227,10.57,-13.3,-9.31,14,11
-0.6115,0.2733,0.7452,-14.35,-20.16,-14.35,7,7
-0.5788,0.1581,0.8379,-30.59,-21.77,-17.01,6,11
-0.5358,0.0888,0.8955,-29.33,-13.23,-18.83,8,16
-0.5597,0.0844,0.8921,1.61,-5.11,-3.29,7,11
-0.5617,0.0913,0.8506,4.76,0.77,2.38,0,7
-0.6129,0.0839,0.8125,-0.98,-4.2,-1.05,6,9
-0.59,0.0737,0.8481,-3.43,-8.96,0.42,4,11
-0.5675,0.0839,0.856,-2.45,-6.93,1.26,5,7
-0.57,0.1098,0.8438,-1.4,-4.9,1.47,12,6
-0.6017,0.1093,0.8169,-5.46,-10.78,-0.28,6,10
-0.5119,0.0917,0.8813,-10.15,-14.28,-2.03,7,8
-0.5822,0.0503,0.8555,-2.17,-3.71,-0.7,8,24
-0.5534,0.1176,0.8608,0.98,-3.43,1.12,6,53
-0.5475,0.1435,0.8423,1.33,-2.94,-1.33,7,79
-0.5871,0.0771,0.8618,-3.85,3.29,-7.84,6,80
-0.5749,0.0547,0.8516,2.03,-0.14,-5.88,3,41
-0.5348,0.0996,0.8901,5.32,4.9,-4.48,4,18
-0.509,0.124,0.9414,7.07,14.7,-4.9,4,11
-0.5466,0.1523,0.9008,-16.94,27.93,-7.14,5,14
-0.6134,0.0415,0.8423,-5.18,31.08,-4.62,6,24
-0.7359,0.0283,0.7042,3.92,26.25,-0.91,7,11
-0.7271,0.0322,0.6798,2.03,-8.68,1.96,8,13
-0.7442,-0.0078,0.6754,5.46,-42.14,9.31,8,15
-0.4192,0.1566,0.9682,10.64,-39.41,6.37,7,10
-0.3919,0.0688,1.0824,-0.77,25.48,-8.96,7,9
-0.6056,0.1274,0.8706,-11.55,52.5,-4.62,10,8
