ax,ay,az,gx,gy,gz,toe,heel
-0.5583,0.0878,0.8662,-1.12,-0.56,-0.07,4,510
-0.5592,0.0961,0.8662,-1.82,-0.49,0.21,18,479
-0.5578,0.0942,0.8608,-0.98,-0.63,0.07,21,457
-0.5622,0.0903,0.8628,-1.68,-1.12,0.14,48,433
-0.5612,0.0903,0.8579,-0.91,-1.68,0.49,43,431
-0.5612,0.0883,0.8628,-1.47,-1.96,0.77,51,426
-0.5627,0.0966,0.8579,-0.56,-1.75,0.35,65,420
-0.5597,0.0878,0.8579,-0.91,-1.61,0.28,73,389
-0.5578,0.0844,0.8584,-0.28,-1.82,0.84,81,393
-0.5627,0.0849,0.8613,0.28,-1.61,0.91,87,385
-0.5558,0.0825,0.8574,0.98,-1.05,0.91,88,372
-0.5885,0.1303,0.8433,3.64,15.4,-0.35,70,382
-0.6427,0.0634,0.8467,1.54,1.33,5.6,14,466
-0.5612,0.1889,0.8706,12.6,-4.62,5.81,5,635
-0.5841,0.1186,0.8272,2.1,-1.47,2.1,3,699
-0.5675,0.0761,0.8281,3.29,-2.8,3.22,5,720
-0.5754,0.1142,0.8423,0.49,-4.83,2.52,11,765
-0.571,0.0859,0.8413,-1.89,-7.14,4.27,5,795
-0.5661,0.1625,0.8647,-9.73,-5.04,1.61,10,826
-0.5666,0.1161,0.8486,-7.28,-5.39,2.1,10,862
-0.591,0.1196,0.8467,-13.79,-3.5,-2.59,5,864
-0.5754,0.0717,0.8545,-3.5,-0.91,-0.56,3,827
-0.5724,0.0698,0.8516,-3.71,-0.7,0.21,9,808
-0.5817,0.0815,0.8472,-4.41,-2.1,0.14,5,787
-0.5734,0.0883,0.8506,-5.95,-5.6,0.21,7,800
-0.568,0.1025,0.854,-6.37,-3.5,-0.28,7,801
-0.5207,0.0947,0.8359,-4.13,0.84,-1.68,7,803
-0.5085,0.1498,0.8711,-2.73,7.07,-6.51,47,731
-0.5285,0.0996,0.8862,-4.06,15.26,-9.03,176,534
-0.5724,0.0566,0.9116,-2.1,30.87,-14,322,127
-0.5495,0.0786,0.9697,7.21,51.8,-13.58,462,72
-0.5719,0.0312,0.8984,0.7,71.05,-10.99,556,49
-0.5924,0.0542,0.8316,-1.89,90.86,-12.25,592,31
-0.7003,0.123,0.7398,-1.4,101.29,-16.59,517,38
-0.8194,0.1181,0.69,-2.1,109.34,-26.81,328,31
-0.852,0.2089,0.8628,-22.47,120.47,-40.04,121,23
-1.0458,0.1186,1.0585,-21.7,147.07,-48.58,5,20
-1.1161,0.2147,1.3693,-39.55,156.87,-48.44,8,24
0.2923,0.3919,1.7441,-9.24,73.36,-17.85,7,18
0.0844,0.53,1.7353,33.04,-36.89,-10.99,11,19
0.0112,0.347,1.3864,55.16,-104.58,3.78,13,23
-0.4158,0.1537,1.2625,73.01,-173.18,28.07,5,11
-0.7042,0.0303,1.2185,75.6,-207.34,38.15,8,13
-0.7296,0.1176,1.0194,81.2,-232.33,26.67,6,9
-0.7749,0.3065,0.8852,44.38,-198.24,36.26,6,14
-1.648,0.2172,0.874,46.83,-144.62,102.9,5,11
-2.1472,-0.4543,0.3762,79.03,-150.64,132.86,10,13
-1.7065,-0.6085,-0.4958,34.3,-102.06,33.95,11,17
-1.5958,-0.6769,-0.9165,86.31,32.83,10.57,11,14
-0.2557,-0.7227,-0.71,-310.17,146.79,-59.64,10,196
-9.0734,0.242,3.8567,-68.88,276.71,-157.5,2,1015
-3.2408,-0.9579,0.0503,-85.33,5.11,-7.91,4,868
-0.9555,0.1025,0.8047,-59.92,13.3,-21.77,145,632
-0.6637,0.1557,0.8291,-9.73,20.93,-11.13,328,291
-0.5519,0.0288,0.9838,-12.95,43.26,-2.1,531,18
-0.4265,0.3772,1.1634,-22.61,103.88,-18.55,648,9
-0.3655,0.1347,1.0014,-21.35,188.16,-47.81,686,18
-0.6827,0.1113,0.7027,-75.95,257.46,-55.58,377,17
-1.1932,-0.1122,0.5026,-83.09,228.9,-56.63,39,15
-1.3415,-0.04,0.6534,-46.62,199.85,-40.67,10,11
-1.0463,-0.0239,0.7652,-62.72,159.11,-23.87,11,13
-0.8472,-0.0093,1.6729,-46.55,134.54,3.01,14,14
-0.5231,0.507,2.5269,77.21,16.03,-15.82,16,17
0.0185,0.4636,1.791,44.59,-82.95,-28.84,7,10
-0.5978,0.6525,1.4411,83.72,-164.22,8.47,13,14
-0.6339,0.305,1.0468,52.08,-211.61,11.9,8,9
-0.7896,0.1645,0.9877,65.17,-273.35,27.23,3,3
-1.1048,0.2064,1.0634,139.37,-326.34,38.5,6,8
-1.5572,0.814,0.8969,119.07,-344.89,96.67,5,11
-2.2014,-0.3494,0.9106,140.42,-252.77,234.5,0,11
-2.6659,-0.2206,-0.2796,57.96,-193.41,159.81,6,11
-2.418,-1.9871,-1.6094,37.87,-30.94,24.99,8,15
-2.6796,-0.8574,-1.302,-236.95,155.68,-41.93,6,39
-2.4371,1.747,2.5147,101.57,423.92,-170.52,5,1004
-3.5482,-1.7207,1.8637,-62.93,65.66,-48.72,10,977
-0.6769,-0.2377,1.1307,-35.84,22.12,-17.15,175,743
-0.6573,0.1049,0.8569,-36.4,16.31,-12.88,395,353
-0.6373,0.0293,1.0419,-1.12,43.96,-7.35,581,18
-0.2796,0.1976,1.2937,-44.66,147.7,-24.5,700,7
-0.3977,0.2186,0.8642,-27.44,240.38,-45.64,638,18
-0.9711,0.0966,0.67,-40.25,272.86,-57.12,267,18
-1.1453,-0.0215,0.5793,-39.97,214.48,-58.73,28,15
-1.401,-0.021,0.7657,-50.26,156.94,-47.04,18,16
-0.8213,-0.1776,1.5323,-59.64,134.68,-22.89,11,15
-0.8477,0.7032,2.5957,44.59,50.54,-31.22,18,16
0.3455,0.3065,1.7573,26.74,-43.96,-29.68,16,10
-0.5827,0.7193,1.5728,54.32,-130.27,2.17,3,11
-0.3172,0.3279,0.974,69.93,-193.13,32.55,14,13
-0.8857,0.1142,1.0692,84.21,-254.38,52.5,8,13
-0.9472,0.1074,0.9941,136.36,-292.18,44.1,10,16
-1.5411,0.486,1.0809,96.6,-308.07,94.64,0,13
-2.0076,-0.0464,0.7579,103.81,-271.81,202.3,4,8
-2.4293,-0.4431,0.1049,119.7,-192.99,162.33,6,11
-2.2536,-1.239,-1.2161,17.78,-77.56,42.07,10,13
-2.1511,1.059,-0.6085,3.43,136.92,11.76,3,9
2.7421,-0.9809,2.3512,21.98,339.5,-107.87,8,930
1.9359,0.6617,0.9213,-56.28,155.82,-38.43,9,1088
-1.2849,0.6788,1.3474,49.56,30.31,-28.42,7,915
-0.4299,0.3733,0.7979,12.67,26.74,-22.12,199,579
-0.5983,0.1288,0.9326,-23.31,28.28,-12.53,417,133
-0.4397,0.1279,1.1605,-2.1,72.24,-6.79,595,10
-0.3709,0.1767,1.0355,-16.87,164.08,-26.04,663,12
-0.6085,0.2089,0.7535,-49.49,223.58,-41.51,577,11
-1.2542,0.1498,0.6754,-59.92,254.1,-69.58,184,15
-1.3991,0.0151,0.8272,-42,206.29,-58.45,18,19
-1.2015,-0.1137,0.8525,-34.02,173.46,-31.99,9,22
-0.2991,0.4465,2.2921,1.89,109.06,-9.1,7,14
0.0932,0.5514,2.1623,14.56,-13.86,-24.22,11,19
-0.5632,0.5226,1.3196,111.16,-97.51,-37.87,17,10
-0.0986,0.428,1.2176,56.77,-154.91,0,16,8
-0.6437,0.4075,1.0848,92.54,-234.43,37.17,11,10
-0.7266,0.0771,1.0224,116.13,-266.7,52.85,12,10
-1.4747,0.3704,1.2366,114.8,-317.8,99.96,9,14
-1.5738,-0.2957,0.8608,98.07,-292.88,177.59,7,7
-2.6274,-0.5266,0.2455,126.14,-187.32,153.37,11,17
-2.4805,-1.5953,-1.5372,-43.68,-81.62,31.22,9,11
-2.6884,-0.5085,-1.5504,-93.31,125.3,-24.15,8,40
0.1391,0.4089,1.5894,132.86,357.91,-136.36,11,920
-0.995,-0.6417,2.0208,-177.73,72.38,-45.29,10,901
-0.3904,0.8311,0.9814,-33.46,25.2,-28.56,128,642
-0.7027,0.2752,0.8208,-0.07,20.23,-18.69,401,244
-0.5915,0.1396,0.9516,-0.42,38.43,-9.73,590,17
-0.4963,0.1781,1.2298,10.15,91.42,-14.91,687,7
-0.3797,0.1771,1.0702,-9.52,177.66,-30.59,695,9
-0.5085,0.1796,0.8828,-54.39,259.21,-44.38,508,9
-1.5948,-0.0464,0.9043,-47.81,264.67,-49.63,99,15
-1.3586,0.1157,0.954,-52.08,212.52,-46.62,10,26
-0.9897,-0.1737,1.18,-66.71,177.45,-21.49,12,15
-0.4163,0.4431,2.3897,21,72.94,-12.95,15,15
0.5241,0.3621,2.0642,55.23,-65.38,-32.2,12,20
-0.1493,0.7505,1.6694,91.35,-143.71,-37.17,7,16
-0.5563,0.427,1.3025,88.27,-208.53,8.82,11,7
-0.6739,0.3426,1.1502,67.48,-242.27,42.91,17,12
-1.199,0.1562,1.2429,112.63,-301.21,66.99,18,8
-1.3674,0.5256,1.0594,71.75,-323.33,115.5,7,12
-1.6353,0.3582,0.5666,45.36,-266.7,173.53,11,11
-2.7099,-0.3553,0.0454,113.68,-209.09,157.15,15,14
-2.4771,-0.9736,-1.344,26.74,-60.76,56.7,9,11
-2.5805,-0.2616,-1.4523,-176.75,137.06,36.26,5,15
0.2674,-0.1122,3.1003,44.66,331.1,-64.19,8,846
-1.3845,-0.7193,2.0369,-33.95,48.65,-54.6,3,941
-0.8072,-0.2591,0.7388,-45.57,27.02,-22.89,196,669
-0.7193,0.1591,0.8364,-36.89,19.39,-14.49,448,237
-0.6842,0.2743,0.9287,-11.55,31.29,-3.85,628,12
-0.368,0.1518,1.3674,-21.42,124.6,-18.34,743,6
-0.264,-0.002,0.9906,-31.64,241.71,-53.41,740,10
-0.7305,0.0927,0.5749,-56.63,286.02,-61.18,377,16
-1.1673,-0.2918,0.5617,-54.25,253.75,-53.48,44,21
-1.4908,-0.0942,0.8135,-58.59,202.44,-40.88,16,20
-0.8896,-0.2172,1.2937,-65.38,154.42,-20.3,14,24
-0.9736,0.3187,2.6054,43.12,59.15,-38.85,16,14
0.0669,0.6852,1.9203,0.35,-61.25,-39.55,14,16
-0.6271,0.6256,1.6665,69.93,-128.17,8.4,5,16
-0.4773,0.4636,1.1131,46.62,-198.94,34.23,14,20
-0.8584,0.4504,1.0868,67.76,-264.95,53.97,12,19
-0.9238,0.1903,1.0624,98.42,-293.02,75.18,17,17
-1.3605,0.344,1.2254,117.39,-324.31,105.35,16,11
-1.5958,-0.0137,0.9618,91.98,-320.11,172.34,16,16
-2.8475,-0.6095,0.3821,107.31,-225.26,156.17,15,9
-2.5703,-1.4186,-1.5845,15.12,-111.09,65.87,14,8
-2.2507,0.4416,-1.5143,81.9,113.54,4.48,15,9
0.7764,-1.566,0.8491,-42.14,254.17,-105.49,12,628
-0.304,0.3182,1.241,-219.87,48.3,-120.89,5,1008
-1.6704,0.6744,1.2444,126,8.26,-32.2,91,800
-0.7218,0.1469,0.8618,22.61,18.48,-12.32,354,447
-0.5685,0.1244,0.9511,3.01,34.16,-5.6,537,33
-0.2889,0.1659,1.198,12.6,96.81,-10.08,663,16
-0.2972,-0.0137,0.9462,38.71,199.15,-44.8,672,15
-0.7379,0.0795,0.712,-42.21,257.67,-46.9,506,9
-1.2273,-0.0698,0.5958,-63.77,246.4,-52.57,67,15
-1.1639,0.02,0.5661,-32.83,237.86,-44.24,12,24
-1.5065,0.0844,0.9228,13.09,195.37,-25.2,14,11
-1.0043,0.0942,1.405,-22.68,195.51,-27.79,15,14
-1.2571,0.9706,2.8167,86.24,22.05,-71.61,10,12
-0.0146,0.246,1.7636,47.46,-73.29,-57.82,15,21
-0.5524,0.6061,1.3771,72.59,-182.84,-3.78,11,7
-0.6393,0.3719,0.9936,68.39,-245.56,26.67,17,13
-0.8501,0.202,0.996,103.18,-305.48,57.96,16,14
-0.9555,0.2991,0.9799,136.36,-334.32,74.41,8,10
-1.7241,0.5788,1.0975,100.94,-353.08,163.94,7,13
-2.2175,-0.3675,0.7379,95.55,-292.25,245.42,14,13
-3.0276,-0.2508,-0.5939,40.67,-193.06,135.87,16,8
-2.825,-1.3928,-2.2277,-8.75,34.86,17.85,5,7
-2.1379,-1.5167,-1.0331,-129.92,261.94,-34.09,7,403
-4.7243,0.5334,1.0214,-140,52.43,-51.45,7,880
-1.2893,0.5475,1.2049,24.78,9.73,-53.83,157,637
-0.5871,0.0059,0.9067,-16.45,18.9,-17.29,536,165
-0.5524,0.2162,1.119,3.92,43.4,-7.7,686,16
-0.3348,0.2006,1.3113,-33.32,125.37,-16.52,806,13
-0.2694,0.1742,1.0199,-20.44,229.88,-51.87,812,12
-0.9106,0.1059,0.8023,-62.79,290.71,-68.74,542,8
-1.2678,-0.428,0.6212,-94.5,267.75,-62.02,95,9
-1.3766,-0.1405,0.5636,-42.28,242.9,-45.57,7,17
-1.199,0.0864,0.6871,-46.48,178.5,-41.51,11,13
-0.8306,-0.0673,1.8446,-39.55,127.89,-18.2,14,20
-0.5807,0.6159,2.2965,28.84,13.02,-40.67,17,24
-0.4753,0.591,1.7939,41.51,-88.48,-12.6,16,14
-0.9004,0.3606,1.4108,93.03,-163.1,55.44,16,11
-0.8159,0.3323,0.9862,76.09,-231.42,39.83,11,16
