ax,ay,az,gx,gy,gz,toe,heel
-0.5656,0.0732,0.8623,-1.61,-2.94,-0.21,8,909
-0.5661,0.082,0.8618,-2.24,-4.69,-1.05,1,892
-0.5632,0.0664,0.8682,-3.15,-5.25,-0.21,7,896
-0.5568,0.0547,0.8774,-0.42,-4.13,1.4,5,913
-0.5592,0.0839,0.8638,0.63,-3.92,1.89,4,927
-0.5495,0.059,0.8813,-0.07,-2.8,2.94,4,942
-0.5519,0.081,0.8725,0.56,0.84,5.25,8,910
-0.5558,0.101,0.8506,-0.28,0.07,1.82,6,820
-0.5549,0.0786,0.8662,0.07,-0.63,0.84,1,776
-0.5597,0.063,0.8613,0.56,0.56,2.52,0,717
-0.5592,0.083,0.8511,0.21,-0.14,1.96,5,659
-0.5627,0.0722,0.8564,0.07,-0.35,1.33,7,618
-0.5636,0.0776,0.8569,0.28,-0.28,2.03,6,572
-0.5671,0.0981,0.8516,0.91,-0.84,1.75,3,524
-0.5685,0.102,0.8506,-0.28,-2.03,0.84,7,527
-0.5622,0.0898,0.8545,-0.42,-2.73,0.77,12,524
-0.5671,0.0986,0.8599,-0.56,-2.94,0.91,1,532
-0.5632,0.0947,0.8579,0,-3.57,1.12,3,535
-0.5636,0.0888,0.8579,-0.21,-3.71,1.47,8,569
-0.5583,0.0859,0.8555,-0.42,-2.94,1.75,5,590
-0.5592,0.0961,0.856,0.42,-2.17,1.47,1,610
-0.5641,0.0937,0.853,0.14,-2.1,1.05,7,609
-0.5597,0.0932,0.8491,0.56,-2.31,1.05,6,612
-0.5592,0.0947,0.8574,0.77,-1.96,0.84,12,614
-0.5656,0.0956,0.8535,0.84,-1.89,1.05,9,617
-0.5602,0.0971,0.8525,0.28,-1.82,1.47,3,615
-0.5617,0.0893,0.8579,0.49,-1.61,1.33,11,614
-0.5622,0.0966,0.8535,0.07,-1.4,1.4,6,607
-0.5641,0.102,0.8525,0,-1.4,0.77,5,583
-0.5646,0.0966,0.8506,-0.14,-1.47,0.7,7,575
-0.5627,0.1005,0.8506,-0.42,-1.75,0.28,10,562
-0.5641,0.0976,0.8477,-0.28,-2.24,0.77,4,558
-0.5685,0.1015,0.8525,-0.84,-2.31,0.91,5,556
-0.5651,0.0927,0.8481,-0.21,-2.59,0.7,8,552
-0.5622,0.0903,0.8511,-0.49,-2.38,0.63,1,545
-0.5661,0.0971,0.8506,-0.7,-2.38,0.91,7,530
-0.5661,0.0908,0.8506,-0.42,-2.45,0.91,5,533
-0.5597,0.1005,0.8525,-0.63,-2.31,0.84,6,539
-0.5656,0.0976,0.8491,-0.98,-2.17,0.14,8,529
-0.5651,0.0922,0.8496,-0.56,-2.24,0.42,12,511
-0.5685,0.0893,0.8525,-0.35,-2.38,0.98,9,506
-0.5666,0.0952,0.8472,-0.42,-2.52,1.05,7,503
-0.5666,0.0898,0.853,-0.63,-2.45,1.12,3,509
-0.5617,0.0947,0.8486,-0.42,-2.59,1.19,4,515
-0.5671,0.0932,0.8516,-0.63,-2.59,0.77,0,519
-0.5641,0.0961,0.8501,-0.63,-2.45,1.26,5,513
-0.5671,0.0878,0.8501,-0.7,-2.52,0.98,3,527
-0.5656,0.0961,0.8516,-0.28,-2.66,1.33,10,527
-0.5671,0.0913,0.8525,-0.49,-2.38,1.47,8,525
-0.5641,0.0976,0.8481,-0.7,-2.52,1.19,0,528
-0.568,0.0903,0.8511,-0.56,-2.66,1.19,4,527
-0.5617,0.0922,0.853,-0.7,-2.59,1.19,7,534
-0.5651,0.0971,0.8516,-0.28,-2.59,1.47,7,532
-0.5622,0.0947,0.8525,-0.49,-2.59,1.47,12,531
-0.5622,0.0913,0.8516,-0.63,-2.45,1.33,8,540
-0.5641,0.0947,0.8486,-0.28,-2.66,1.4,7,550
-0.5632,0.0937,0.852,-0.42,-2.45,1.19,6,554
-0.5641,0.0947,0.8501,-0.56,-2.8,1.4,9,558
-0.5651,0.0937,0.8496,-0.35,-2.87,1.26,10,567
-0.5646,0.0922,0.854,-0.35,-2.8,1.4,6,573
-0.5636,0.0947,0.8481,-0.56,-2.59,1.54,3,584
-0.5641,0.0942,0.8511,-0.63,-2.59,1.33,1,590
-0.5627,0.0927,0.853,-0.63,-2.38,1.19,8,589
-0.5612,0.0961,0.8511,-0.77,-2.17,1.05,8,592
-0.5651,0.0942,0.8511,-0.42,-2.38,1.26,4,592
-0.5656,0.0956,0.8535,-0.35,-2.45,1.12,6,594
-0.5627,0.0908,0.8516,-0.42,-2.45,1.19,3,600
-0.5617,0.0932,0.853,-0.56,-2.59,1.26,3,601
-0.5607,0.0913,0.853,-0.28,-2.59,1.33,5,602
-0.5612,0.0991,0.8525,-0.63,-2.45,0.84,4,608
-0.5651,0.0903,0.8525,-0.42,-2.31,1.47,4,603
-0.5666,0.0942,0.8501,-0.7,-2.17,1.33,3,599
-0.5612,0.0952,0.8501,-0.63,-1.96,1.4,9,602
-0.5661,0.0947,0.8525,-0.7,-2.1,1.12,0,607
-0.5617,0.1025,0.854,-0.7,-2.38,0.77,8,607
-0.5641,0.0937,0.8516,-0.56,-2.73,0.56,1,608
-0.5622,0.0937,0.8511,-0.14,-2.73,0.49,5,605
-0.5646,0.0927,0.8496,-1.26,-2.66,0.91,5,605
-0.5612,0.0996,0.8496,-1.26,-2.94,0.35,4,606
-0.5617,0.0883,0.8516,-1.47,-2.59,0.84,10,609
-0.5641,0.0888,0.8511,-2.1,-3.15,0.07,5,609
-0.5627,0.0908,0.8579,-1.68,-2.8,0.07,7,609
-0.5617,0.0942,0.8481,-0.98,-3.01,-0.07,6,607
-0.5602,0.0883,0.853,-0.7,-1.75,0.42,4,614
-0.5612,0.0893,0.856,-0.56,-1.68,0.42,7,608
-0.5607,0.0961,0.8516,-0.56,-2.24,0.14,18,595
-0.5646,0.0869,0.8555,-0.91,-2.66,-0.42,29,599
