ax,ay,az,gx,gy,gz,heel,toe
-0.1820,0.1044,1.0477,-2.3800,-8.1200,0.4900,7,320
-0.2420,0.0956,1.0882,-7.2100,-7.0700,-0.6300,9,313
-0.2094,0.0693,0.9980,-13.3700,-2.0300,5.1100,6,288
-0.3109,-0.0805,0.7427,-28.2800,-4.1300,8.4000,6,254
-0.1845,0.0146,0.9984,31.5700,6.0200,1.2600,0,243
-0.2157,0.0249,1.0702,61.3200,4.5500,-0.4900,7,231
-0.3719,0.2567,1.0433,-2.1000,-14.2800,-4.8300,8,215
-0.0151,0.0366,1.0619,-18.9700,-23.8700,-0.4900,0,192
-0.3182,0.1313,1.1058,-25.6200,-25.6900,4.5500,10,151
-0.2938,0.1606,1.1473,-31.9900,-47.6000,3.2200,8,92
-0.3470,0.2601,1.1502,-52.0100,-73.1500,4.1300,8,35
-0.1786,0.0337,1.0912,-73.2900,-71.1200,9.1000,10,26
-0.0410,0.0224,1.0053,-61.4600,-51.0300,6.9300,5,13
0.1118,-0.2904,0.8764,-40.6700,-30.8700,25.2700,8,11
-0.1044,-0.1200,0.8804,41.7900,7.6300,36.7500,0,14
-0.2147,0.3850,0.9145,33.0400,9.1700,21.3500,11,21
-0.2411,0.0415,1.2288,-17.3600,0.3500,19.9500,3,7
-0.0942,0.0249,0.8989,-7.2100,5.4600,15.6100,7,12
-0.0508,0.0503,0.7847,-20.5800,22.4000,7.4200,3,7
-0.1347,0.0254,0.8901,-20.6500,30.6600,9.5200,6,9
-0.3606,0.3235,0.9653,-32.5500,12.1800,5.6700,0,7
-0.1645,0.0669,0.9682,2.5200,13.9300,19.0400,7,4
-0.2186,0.2557,0.9809,12.3200,29.6100,50.5400,8,6
-0.2089,0.1078,0.9565,0.7700,53.6200,76.5800,8,12
-0.2948,0.0376,1.0204,-25.2700,47.7400,85.6100,4,14
0.0351,-0.1488,1.0331,-7.8400,34.0900,75.8100,2,6
0.1601,0.0752,1.0668,17.1500,41.7200,61.1100,3,12
-0.0190,0.0059,1.1395,32.5500,29.8900,72.8700,5,6
0.0771,0.1054,0.9399,20.2300,11.6200,118.0200,10,7
0.1713,-0.2943,0.6832,-1.5400,50.2600,141.4700,3,8
0.1347,-0.2865,0.7071,3.9200,71.6100,100.3800,4,7
0.1015,-0.2308,0.7598,5.1800,90.3700,46.4100,5,7
-0.1513,-0.1132,0.7374,-9.3800,98.0700,29.2600,6,5
-0.2181,-0.0986,0.6320,21.2800,98.7000,44.5200,7,12
-0.1557,-0.0849,0.7110,12.4600,93.3800,40.6700,3,10
-0.2733,0.0356,0.6827,-17.1500,82.3900,18.2700,2,10
-0.2591,-0.2128,0.5690,-0.6300,82.5300,6.0200,9,5
-0.4709,0.0425,0.5661,11.6900,89.7400,-14.2800,6,0
-0.7257,0.0947,0.5846,9.1700,76.7900,-42.0700,4,0
-0.8394,0.0766,0.6407,0.5600,55.3700,-36.4000,5,11
-0.9184,0.0859,0.7930,0.5600,49.5600,-7.0700,9,12
-1.4328,0.3899,0.8930,-19.6000,33.3900,-9.3100,6,12
-1.3869,0.0517,0.8891,-24.0800,0.0700,-6.9300,0,6
-1.2078,0.1581,0.8369,5.2500,-27.2300,-1.8900,7,10
-1.3796,0.1737,0.7818,32.7600,-27.2300,1.6800,5,7
-1.2068,0.1469,0.7471,40.4600,-3.7800,16.7300,3,9
-0.9755,-0.0049,0.7325,13.0200,24.0100,29.6100,10,14
-1.6094,0.4094,1.4518,-142.1000,-142.0300,-58.5200,2,7
-1.4142,0.3074,1.2351,36.8200,-90.8600,-17.8500,7,8
-0.3909,-0.0093,1.1741,24.2900,-67.7600,-5.6700,4,6
-0.4426,-0.0068,1.0497,3.7100,5.2500,-2.8700,10,5
-0.7398,0.1044,0.6490,-11.9700,12.3200,-12.5300,9,6
-0.8179,-0.0727,0.5524,-5.2500,-39.8300,-1.1900,0,11
-0.6183,0.0908,0.7749,8.6100,-70.7000,0.9800,13,5
-0.4036,0.0439,1.1112,-15.5400,-34.9300,-5.3200,34,8
-0.4714,-0.0068,0.9980,2.0300,16.7300,3.9900,39,8
-0.6461,0.0478,0.7369,4.4100,21.2100,4.2000,43,1
-0.6803,0.0996,0.7330,0.7700,-8.6800,2.9400,56,9
-0.6359,0.0581,0.7906,-5.1100,-22.8900,-2.3800,67,8
-0.5646,0.0151,0.8242,-6.8600,-26.3900,-2.7300,107,1
-0.5861,0.0620,0.8281,3.1500,-25.2700,2.3100,151,6
-0.5129,0.0747,0.9267,1.6800,-12.5300,1.7500,195,0
