ax,ay,az,gx,gy,gz,toe,heel
-0.57,0.0566,0.8579,-6.58,-2.45,-1.47,87,208
-0.5597,0.0815,0.8686,0.56,-3.36,0.56,98,218
-0.5641,0.0903,0.8647,-0.21,-2.66,0.28,111,228
-0.5641,0.0464,0.8642,-0.07,-2.8,1.47,120,226
-0.5656,0.0771,0.8623,-2.8,-2.38,1.33,117,225
-0.5651,0.08,0.8594,-0.14,-4.76,1.19,112,233
-0.5666,0.0761,0.8525,-1.47,-6.09,0.21,108,274
-0.5666,0.0732,0.8618,-1.75,-7,0.35,94,320
-0.5553,0.0673,0.8745,-0.42,-5.88,0.98,59,343
-0.5651,0.0786,0.8613,7.14,0.42,1.89,40,329
-0.5607,0.0264,0.856,7.91,0.35,-0.28,17,257
-0.5583,0.0615,0.8603,12.6,4.27,-0.91,14,175
-0.5553,0.1049,0.8569,6.51,2.73,-1.05,7,116
-0.5339,0.0844,0.8833,15.61,11.76,-5.6,5,70
-0.5295,0.0273,0.9145,29.05,26.67,-5.67,4,23
-0.5588,0.3675,0.9579,46.41,38.36,-17.78,6,28
-0.6071,0.3133,0.9448,89.11,36.61,-63.35,7,21
-0.6578,0.8882,1.361,14.28,-34.02,-60.06,7,19
0.1293,0.4665,0.8072,15.96,-25.62,-14.56,6,24
-0.1039,0.5065,0.8535,3.64,-11.62,38.29,6,13
-0.2328,0.3411,0.9877,6.02,-2.66,51.8,6,15
-0.3601,0.2547,1.0673,14.35,-13.65,39.83,11,14
-0.2474,0.1225,1.0663,15.61,-17.08,29.54,6,16
-0.2381,0.0722,1.1419,17.78,-28.63,17.85,5,9
-0.1571,-0.0005,1.1805,18.55,-34.79,0.91,8,5
-0.3343,0.021,1.2395,22.82,-53.97,-8.4,7,13
-0.1571,0.0351,1.1605,-2.45,-45.57,-25.13,6,9
-0.3382,-0.0268,1.12,3.64,-64.12,-30.73,2,11
-0.4724,-0.0986,1.1029,-6.86,-52.71,-49.98,4,10
-0.4821,-0.0015,0.9048,58.1,-87.71,-33.39,8,10
-0.6232,0.0249,0.8838,35.49,-67.48,-34.93,8,16
-0.5685,0.0586,0.7627,38.22,-73.92,-29.82,6,12
-0.7213,0.0722,0.6227,43.47,-59.5,-31.15,1,10
-0.9248,0.0556,0.4563,39.76,-46.55,-30.31,3,6
-0.896,-0.0381,0.2542,29.12,-12.39,-29.89,5,10
-1.0175,0.0478,0.1947,9.45,21.7,-30.45,3,5
-0.2455,-0.1318,0.9052,-257.04,108.29,-105.98,7,158
-0.2025,0.9033,0.9443,120.61,189.21,-31.85,3,602
-0.6769,-0.6432,0.8691,44.87,57.61,-5.6,6,807
-0.6041,0.6134,0.913,-72.45,13.79,-8.33,1,841
-0.5861,0.1449,0.9008,28.7,5.88,-5.18,6,873
-0.569,-0.0107,0.8486,-3.15,4.55,1.75,6,884
-0.5622,0.1078,0.8506,-7.7,6.09,4.76,6,831
-0.5871,0.2103,0.8408,-15.05,1.26,-0.84,4,752
-0.5646,0.1176,0.8579,-11.34,0.7,-2.87,12,671
-0.5588,0.1254,0.8506,-6.09,0.63,-3.57,3,595
-0.5749,0.0952,0.8491,-9.66,0.84,-3.5,8,481
-0.5671,0.0991,0.8501,-7.63,4.2,-3.08,24,366
-0.5754,0.0903,0.8428,-5.81,6.79,-3.29,49,243
-0.5851,0.0727,0.8467,-6.23,8.82,-3.08,74,115
-0.5734,0.0766,0.8379,-0.07,12.11,-2.03,115,64
-0.5836,0.1025,0.8408,-3.5,17.22,-3.36,169,35
-0.5544,0.0947,0.8847,4.97,29.12,-2.24,210,32
-0.5563,0.0961,0.8989,8.19,47.88,-3.22,278,23
-0.5441,0.1196,0.9448,4.69,76.93,-4.69,327,20
-0.5061,0.1957,1.0004,9.59,130.27,-18.06,342,19
-0.4846,0.1181,1.0024,3.43,202.23,-19.39,299,15
-0.7725,0.1015,0.9228,-11.62,286.79,-29.33,132,15
-1.157,-0.2025,0.8423,12.18,303.87,-14.14,9,14
-1.6904,-0.1893,0.8779,63.28,259.14,1.19,7,17
-0.9965,0.0732,1.242,116.34,172.34,-1.05,10,13
-0.3045,0.3245,1.7143,64.4,-46.83,-113.89,6,21
0.1484,0.225,1.1385,49.21,-112.07,-95.41,8,13
-0.2494,0.365,0.9697,0.35,-192.22,-4.62,8,10
-0.5812,0.2108,0.914,-8.75,-235.83,52.78,9,12
-1.5128,0.2342,0.8847,-6.16,-270.2,52.64,7,14
-0.9667,0.266,0.6837,-14.84,-232.96,61.81,7,9
-1.1424,0.3972,0.9018,-21.21,-193.34,38.15,8,11
-1.6455,0.1932,1.036,-8.47,-191.87,54.32,3,8
-1.1707,0.4455,0.7793,15.96,-211.26,82.74,5,10
-1.0799,-0.0703,0.6617,62.23,-152.88,85.96,1,9
-1.1131,-0.0107,0.5383,39.34,-96.46,23.66,7,14
-1.8276,-0.3187,0.0449,108.99,-160.72,-14.14,3,11
-1.73,-0.1181,-0.7969,64.47,-35,-38.22,3,10
-1.3469,-0.5632,-1.6392,-155.26,144.41,-40.81,10,214
-1.5499,0.2826,1.056,45.15,191.45,-58.38,9,727
-0.9745,-0.1118,1.0058,81.27,61.46,-0.84,9,903
-0.7422,0.2542,0.9155,-87.99,8.82,-7.28,9,894
-0.5885,0.1664,0.8764,1.61,7.21,-9.73,8,880
-0.5651,0.0142,0.8652,-9.31,7,-3.15,9,839
-0.5661,0.1723,0.8364,-4.55,8.68,-3.92,7,746
-0.5768,0.1249,0.8379,-15.82,1.61,-7.14,7,628
-0.5773,0.1127,0.8594,-10.22,-1.33,-6.09,13,489
-0.568,0.1191,0.854,-4.34,0.35,-4.83,47,361
-0.5602,0.1093,0.8496,-1.05,4.97,-7.28,98,205
-0.569,0.0927,0.853,-1.12,11.97,-8.75,163,66
-0.5749,0.0849,0.8584,0.14,19.46,-8.54,250,25
-0.5739,0.1059,0.8657,0.98,29.19,-7.63,343,17
-0.5768,0.1049,0.8711,-2.87,40.46,-7.42,407,20
-0.5602,0.0952,0.9033,-5.11,57.75,-8.75,486,24
-0.5675,0.0361,0.9013,5.53,85.33,-6.37,563,25
-0.5412,0.1684,0.9443,9.59,132.16,-8.47,606,15
-0.5007,0.2133,0.9594,-16.1,225.96,-29.82,543,24
-0.6066,0.2401,1.0804,-32.34,342.79,-75.04,297,17
-1.5933,0.0386,0.9628,-29.26,360.85,-93.45,56,10
-1.7119,0.4763,0.8194,-6.65,263.48,-99.89,16,13
-0.2655,0.5734,2.1672,-16.24,53.83,-48.3,7,16
0.1503,0.6198,1.2127,-43.61,-123.83,-22.54,6,15
0.0903,0.244,0.8491,3.22,-159.46,32.55,7,9
-0.5754,0.2123,0.8438,7.21,-214.34,64.47,16,12
-0.8223,0.1313,0.8257,38.99,-268.87,68.74,7,7
-0.975,0.0566,0.7198,50.96,-263.76,55.51,11,10
-1.1165,0.1684,0.8398,46.34,-245.49,55.23,12,8
-1.0307,0.3621,0.873,27.72,-207.13,74.06,7,9
-1.1697,0.2484,0.9833,-25.27,-159.32,82.18,8,9
-1.9832,-0.204,1.0956,9.73,-170.45,94.36,7,4
-1.4401,-0.0678,0.5202,35.35,-205.17,84.14,7,9
-1.5001,-0.3592,0.1625,71.89,-160.93,22.4,0,3
-1.8837,-0.5729,-0.6686,125.23,-103.32,-10.43,6,8
-1.5836,0.6642,-1.6651,-133.56,93.17,-75.74,3,7
0.3436,0.3914,1.8632,124.6,287.42,19.39,6,518
-2.7064,-1.6743,1.6299,-158.9,132.37,-60.41,4,909
-1.0136,1.1839,0.4763,219.45,19.18,-19.88,10,925
-0.6632,-0.3479,0.7984,-63.77,1.68,-8.68,0,907
-0.5114,0.2826,0.8369,-43.26,-0.91,-10.78,8,834
-0.5778,0.04,0.8613,11.41,6.37,-1.75,7,732
-0.5949,0.1376,0.8301,-9.87,2.59,-4.41,9,603
-0.5978,0.0917,0.8452,-10.85,-2.45,-4.69,3,502
-0.5749,0.1098,0.8516,-5.6,-1.89,-5.67,17,399
-0.5695,0.1196,0.8467,-3.85,2.52,-6.58,74,300
-0.5592,0.1044,0.8569,-6.58,7.14,-9.31,133,122
-0.5768,0.0825,0.8594,-0.84,15.61,-9.45,215,40
-0.5714,0.0659,0.8506,3.92,25.06,-6.3,267,30
-0.5807,0.1083,0.8594,0.28,37.31,-6.58,366,26
-0.5524,0.1025,0.9179,-9.03,58.45,-10.64,459,24
-0.5436,0.0244,0.9721,-3.64,95.48,-8.47,534,21
-0.5124,0.1928,0.9799,9.24,149.45,-10.99,554,22
-0.5046,0.2869,0.9706,-21.56,226.45,-34.16,527,19
-0.7261,0.365,1.1078,-62.72,333.62,-84.21,300,20
-1.2942,-0.1547,1.0682,-55.23,396.9,-102.97,63,17
-2.3009,0.3972,0.9731,23.59,323.82,-104.02,12,15
-0.9662,0.3924,2.2394,-5.88,85.12,-55.93,9,11
0.3665,0.426,1.2117,1.61,-90.72,-6.86,5,9
-0.1127,0.2347,0.9575,44.31,-153.37,48.09,11,12
-0.2845,0.1127,0.8316,16.52,-220.78,75.53,10,9
-0.8672,-0.1122,0.8608,62.51,-265.09,77.21,7,14
-1.0082,-0.0151,0.8286,50.47,-281.68,56.98,6,11
-1.1761,0.1122,0.852,51.8,-283.29,45.01,7,14
-1.1287,0.204,0.9584,42.56,-244.65,57.26,6,16
-1.6777,0.3343,1.1331,21,-221.41,86.87,4,13
-1.8661,-0.1542,0.9706,32.97,-233.8,123.62,6,10
-1.2307,0.1181,0.1913,29.75,-202.58,101.22,7,16
-1.9764,-0.7642,-0.1957,112.98,-122.5,19.04,17,8
-1.6309,-0.0771,-1.1331,150.57,-25.62,14.98,7,16
-1.3971,0.1928,-1.4962,-314.44,152.6,-22.05,8,64
-0.9399,0.4577,1.076,-55.79,247.59,5.11,6,644
-1.9915,-0.5846,1.2473,23.87,136.92,-61.11,7,992
-0.1532,0.8828,1.2376,-256.06,16.03,-4.97,11,984
-0.6105,-0.224,0.9789,78.96,11.97,-9.17,8,944
-0.629,0.0654,0.8457,-66.71,-0.7,-5.25,7,895
-0.548,0.2455,0.8696,-7.42,6.65,-0.84,7,781
-0.591,0.2079,0.8291,-11.06,2.31,-8.19,8,610
-0.5778,0.1171,0.8584,-2.24,-1.75,-7.56,6,484
-0.5641,0.1186,0.853,-1.68,1.33,-6.86,11,368
-0.5729,0.1098,0.8486,-8.47,5.32,-8.19,49,210
-0.5719,0.1015,0.8564,-1.47,12.25,-8.61,113,68
-0.5827,0.0859,0.8564,1.75,21.49,-6.58,181,23
-0.5939,0.1,0.8467,4.97,30.31,-4.97,254,25
-0.5758,0.1391,0.8652,-0.56,41.93,-7.56,335,19
-0.5695,0.0717,0.9052,-2.94,64.75,-8.89,410,19
-0.5363,0.0429,0.9467,-3.01,101.5,-5.81,463,22
-0.4836,0.3162,1.0721,3.5,172.34,-15.4,509,19
-0.3884,0.3113,1.057,-23.59,273.91,-39.62,455,18
-1.038,0.1322,1.0941,-58.45,407.26,-64.12,164,11
-2.1604,0.0361,1.0146,15.05,380.73,-37.66,15,15
-1.2468,0.0366,0.9765,73.64,213.92,-36.89,15,16
-0.794,0.4695,1.9208,61.95,-35.49,-58.59,16,12
0.1459,0.1606,1.077,18.48,-130.69,-44.24,10,14
-0.2196,0.4011,0.9091,11.48,-202.51,13.3,9,10
-0.5207,0.143,0.8682,0.21,-245.35,51.45,16,12
-0.793,0.263,0.8247,24.43,-269.36,47.25,8,12
-0.6881,0.306,0.7139,25.69,-278.25,37.03,7,9
-1.0921,0.286,0.8618,31.5,-261.03,37.94,5,11
-1.0409,0.4265,0.8657,21.84,-207.97,53.62,8,11
-1.7041,0.2484,1.0292,28.07,-164.71,79.17,7,7
-1.8481,0.2108,0.9789,58.45,-234.78,116.48,0,6
-1.7846,-0.5578,0.3045,71.05,-154.28,120.82,4,7
-1.7192,-0.1928,-0.2694,50.68,-121.52,44.31,7,8
-1.6616,0.0234,-1.2839,17.71,22.12,-29.12,4,11
0.3889,-1.4245,1.6202,-84.28,223.51,31.78,12,405
-2.1301,-1.0472,1.6236,-180.25,174.51,-43.19,4,857
-1.8276,1.0429,0.9209,244.72,41.86,-35.35,3,902
-0.5797,-0.2982,0.6886,-113.26,-2.24,-16.31,6,903
-0.5666,0.3704,0.8979,-2.52,0.07,-9.73,4,903
-0.5597,0.0254,0.873,6.16,3.5,-2.45,5,868
-0.5636,0.1396,0.8189,0.28,4.69,0.63,6,776
-0.5758,0.1659,0.8452,-20.72,-3.92,-5.67,9,673
-0.5529,0.1225,0.8618,-3.22,-1.75,-3.43,6,555
-0.5656,0.1308,0.854,-3.43,0.98,-4.76,7,441
-0.5568,0.1205,0.8525,-3.99,3.57,-6.93,34,310
-0.5641,0.1103,0.8594,-2.52,10.22,-7.98,106,109
-0.568,0.1093,0.8579,-0.21,16.59,-7.63,156,32
-0.5592,0.0839,0.855,1.89,25.34,-6.58,240,21
-0.5592,0.12,0.8696,0.63,36.75,-7.42,329,28
-0.5431,0.1332,0.9267,-6.02,57.61,-11.13,418,22
-0.49,0.0181,1.0072,-0.98,101.36,-3.64,490,17
-0.469,0.3235,1.057,13.58,176.4,-21.77,542,18
-0.4006,0.3294,1.0487,-28.84,271.25,-40.88,511,18
-0.9584,0.5646,1.0975,-71.26,383.81,-99.96,211,20
-2.0476,0.2011,0.9116,-18.97,396.41,-90.93,15,15
-1.8334,0.1547,1.1527,14.77,267.12,-105.63,13,17
-1.913,-0.1835,1.5665,-20.3,31.36,-63.84,14,9
0.2884,0.2987,0.8506,-1.54,-102.76,-35.98,11,11
-0.0473,0.2664,0.7286,-23.52,-157.15,27.51,3,8
-0.5602,0.3489,0.7769,-13.23,-209.44,74.06,7,8
-0.7174,0.1864,0.6895,-15.54,-281.19,93.66,12,10
-1.0336,0.2791,0.6832,13.51,-293.37,75.88,6,7
-1.2283,0.4314,0.7588,9.17,-296.87,66.36,3,3
-1.1151,0.5568,0.8833,0.56,-251.16,92.68,8,11
-1.2029,0.5466,1.0214,-8.54,-172.76,111.58,9,7
-2.2936,0.1498,1.1297,31.08,-170.66,135.52,0,6
-1.4713,-0.2767,0.4299,52.5,-224.56,147,9,9
-1.9481,-0.5373,-0.3562,142.45,-136.08,46.62,7,10
-1.4167,-0.245,-1.3913,162.68,-15.96,-35.7,2,9
-1.0263,1.6363,-0.5446,-230.86,105.35,-65.45,14,19
0.2298,-0.5544,0.691,70.21,255.01,79.87,7,543
-1.891,-1.6494,1.5797,-61.53,133.49,-87.71,3,951
0.2704,1.8212,1.1605,-231.63,7.84,-4.13,6,953
-0.771,-0.5085,0.8979,36.33,4.13,-9.45,6,942
-0.7379,0.2386,0.8408,-64.54,-1.12,-7.28,3,896
-0.5632,0.1703,0.8872,11.9,5.04,0.91,8,821
-0.5671,0.2591,0.8101,1.47,1.12,-6.3,5,693
-0.5729,0.0195,0.8477,-10.15,-3.15,-6.72,5,600
-0.588,0.1396,0.8501,-9.31,-0.98,-3.78,5,497
-0.5671,0.1591,0.8462,-4.97,1.47,-4.69,19,396
-0.5773,0.122,0.8472,-6.44,4.41,-5.81,35,262
-0.5729,0.1074,0.8569,-6.3,9.24,-7.56,87,121
-0.5632,0.0825,0.8594,-1.54,19.81,-7.21,161,31
-0.5876,0.1205,0.8525,1.68,28.42,-6.51,236,25
-0.5597,0.1366,0.876,3.5,42.77,-8.96,338,16
